No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS
20,Sumatera Utara,Kab. Tapanuli Tengah,10206597,SMKS TI MUHAMMADIYAH 11 SIBULUAN,Teknik Bisnis Sepeda Motor,,,,
101,Sumatera Utara,Kab. Langkat,10201331,SMKS HARAPAN BABALAN,Manajemen Perkantoran,,,,
102,Sumatera Utara,Kab. Langkat,10260514,SMKS MUHAMMADIYAH 18 P BERANDAN,Teknik Komputer Jaringan,,,,
131,Sumatera Utara,Kota Medan,10211076,SMKS YWKA Medan,Manajemen Perkantoran,,,,
21,Sumatera Utara,Kab. Tapanuli Tengah,10260540,SMK NEGERI 1 TAPIAN NAULI,Teknik Komputer Jaringan,,,,
105,Sumatera Utara,Kab. Mandailing Natal,10208082,SMKN 1 NATAL,Teknik Komputer Jaringan,,,,
119,Sumatera Utara,Kabupaten Langkat,10220748,SMKS YPII TANJUNG PURA,Teknik Komputer Jaringan,,,,
106,Sumatera Utara,Kab. Tapanuli Selatan,10220618,SMKN 1 BATANGTORU,Agribisnis Tanaman Pangan dan Hortikultura,,,,
121,Sumatera Utara,Kabupaten Tapanuli Selatan,60725063,SMKN 2 BATANG TORU,Teknik Alat Berat,,,,
126,Sumatera Utara,Kabupaten Tapanuli Utara,10220208,SMKN LOSIDA SIATAS BARITA,Teknik Komputer Jaringan,,,,
103,Sumatera Utara,Kab. Langkat,10201070,SMKS PEMBANGUNAN NASIONAL PANGKALAN SUSU,Manajemen Perkantoran,,,,
104,Sumatera Utara,Kab. Langkat,69937373,SMK SWASTA KESEHATAN RACHMAD INSANI,Keperawatan,,,,
